State,Year,Population,number,rate
New Jersey,2011,8834773,"27,203",307.9
New Jersey,2012,8864590,"25,727",290.2
New Jersey,2013,8911502,"25,748",288.9
New Jersey,2014,8938175,"23,346",261.2
New Jersey,2015,8935421,"22,879",256
New Jersey,2016,8944469,"21,914",245
New Jersey,2017,8888543,"20,604",231.8
New Jersey,2018,8908520,"18,537",208.1
New York,2007,19297729,"79,915",414.1
New York,2008,19490297,"77,585",398.1
New York,2009,19541453,"75,110",384.4
New York,2010,19378102,"75,977",392.1
New York,2011,19501616,"77,463",397.2
New York,2012,19570261,"79,610",406.8
New York,2013,19695680,"77,563",393.8
New York,2014,19746227,"75,398",381.8
New York,2015,19747183,"75,126",380.4
New York,2016,19745289,"74,285",376.2
New York,2017,19590719,"70,746",361.1
New York,2018,19542209,"68,495",350.5
Pennsylvania,2007,12432792,"51,782",416.5
Pennsylvania,2008,12448279,"51,036",410
Pennsylvania,2009,12604767,"48,188",382.3
Pennsylvania,2010,12702379,"46,514",366.2
Pennsylvania,2011,12743948,"46,189",362.4
Pennsylvania,2012,12763536,"44,503",348.7
Pennsylvania,2013,12781296,"42,825",335.1
Pennsylvania,2014,12787209,"40,164",314.1
Pennsylvania,2015,12791904,"40,348",315.4
Pennsylvania,2016,12784227,"40,447",316.4
Pennsylvania,2017,12790447,"40,030",313
Pennsylvania,2018,12807060,"39,192",306
Illinois,2007,12852548,"68,528",533.2
Illinois,2008,12901563,"67,780",525.4
Illinois,2009,12910409,"64,185",497.2
Illinois,2010,12830632,"55,835",435.2
Illinois,2011,12859752,"54,523",424
Illinois,2012,12875255,"53,403",414.8
Illinois,2013,12890552,"51,956",403.1
Illinois,2014,12880580,"47,663",370
Illinois,2015,12839047,"49,755",387.5
Illinois,2016,12801539,"55,854",436.3
Illinois,2017,12786196,"55,777",436.2
Illinois,2018,12741080,"51,490",404.1
Indiana,2007,6345289,"21,165",333.6
Indiana,2008,6376792,"21,283",333.8
Indiana,2009,6423113,"21,455",334
Indiana,2010,6483802,"20,389",314.5
Indiana,2011,6516353,"21,619",331.8
Indiana,2012,6537334,"22,602",345.7
Indiana,2013,6570713,"23,627",359.6
Indiana,2014,6596855,"24,099",365.3
Indiana,2015,6612768,"25,373",383.7
Indiana,2016,6633053,"26,845",404.7
Indiana,2017,6660082,"26,307",395
Indiana,2018,6691878,"25,581",382.3
Michigan,2007,10071822,"53,988",536
Michigan,2008,10003422,"50,166",501.5
Michigan,2009,9969727,"49,825",499.8
Michigan,2010,9883640,"48,460",490.3
Michigan,2011,9876801,"43,731",442.8
Michigan,2012,9883360,"44,922",454.5
Michigan,2013,9898193,"44,757",452.2
Michigan,2014,9909877,"42,348",427.3
Michigan,2015,9917715,"41,712",420.6
Michigan,2016,9928300,"45,572",459
Michigan,2017,9976447,"44,883",449.9
Michigan,2018,9995915,"44,918",449.4
Ohio,2007,11466917,"39,360",343.2
Ohio,2008,11485910,"39,997",348.2
Ohio,2009,11542645,"38,305",331.9
Ohio,2010,11536504,"36,366",315.2
Ohio,2011,11541007,"35,218",305.2
Ohio,2012,11544225,"34,595",299.7
Ohio,2013,11572005,"33,722",291.4
Ohio,2014,11594163,"33,030",284.9
Ohio,2015,11605090,"34,373",296.2
Ohio,2016,11614373,"34,877",300.3
Ohio,2017,11664129,"34,621",296.8
Ohio,2018,11689442,"32,723",279.9
Wisconsin,2007,5601640,"16,296",290.9
Wisconsin,2008,5627967,"15,421",274
Wisconsin,2009,5654774,"14,650",259.1
Wisconsin,2010,5686986,"14,142",248.7
Wisconsin,2011,5709843,"14,268",249.9
Wisconsin,2012,5726398,"16,064",280.5
Wisconsin,2013,5742953,"16,118",280.7
Wisconsin,2014,5757564,"16,714",290.3
Wisconsin,2015,5767891,"17,549",304.3
Wisconsin,2016,5778708,"17,679",305.9
Wisconsin,2017,5792051,"18,638",321.8
Wisconsin,2018,5813568,"17,176",295.4
Iowa,2007,2988046,"8,805",294.7
Iowa,2008,3002555,"8,520",283.8
Iowa,2009,3007856,"8,485",282.1
Iowa,2010,3046355,"8,333",273.5
Iowa,2011,3064097,"7,883",257.3
Iowa,2012,3074186,"8,112",263.9
Iowa,2013,3092341,"8,443",273
Iowa,2014,3107126,"8,497",273.5
Iowa,2015,3121997,"8,619",276.1
Iowa,2016,3134693,"9,110",290.6
Iowa,2017,3143637,"9,038",287.5
Iowa,2018,3156145,"7,893",250.1
Kansas,2007,2775997,"12,566",452.7
Kansas,2008,2802134,"11,505",410.6
Kansas,2009,2818747,"11,460",406.6
Kansas,2010,2853118,"10,531",369.1
Kansas,2011,2870386,"10,209",355.7
Kansas,2012,2885905,"10,232",354.6
Kansas,2013,2895801,"9,928",342.8
Kansas,2014,2904021,"10,123",348.6
Kansas,2015,2906721,"11,483",395
Kansas,2016,2907289,"11,060",380.4
Kansas,2017,2910689,"11,654",400.4
Kansas,2018,2911505,"12,782",439
Minnesota,2007,5197621,"15,003",288.7
Minnesota,2008,5220393,"13,717",262.8
Minnesota,2009,5266214,"12,874",244.5
Minnesota,2010,5303925,"12,515",236
Minnesota,2011,5347299,"12,323",230.5
Minnesota,2012,5379139,"12,419",230.9
Minnesota,2013,5422060,"12,710",234.4
Minnesota,2014,5457173,"12,505",229.1
Minnesota,2015,5482435,"13,319",242.9
Minnesota,2016,5519952,"13,394",242.6
Minnesota,2017,5568155,"13,345",239.7
Minnesota,2018,5611179,"12,369",220.4
Missouri,2007,5878415,"29,682",504.9
Missouri,2008,5911605,"29,819",504.4
Missouri,2009,5987580,"29,513",492.9
Missouri,2010,5988927,"27,252",455
Missouri,2011,6008984,"26,888",447.5
Missouri,2012,6021988,"27,155",450.9
Missouri,2013,6044917,"26,216",433.7
Missouri,2014,6063589,"26,856",442.9
Missouri,2015,6076204,"30,292",498.5
Missouri,2016,6093000,"31,644",519.4
Missouri,2017,6108612,"32,450",531.2
Missouri,2018,6126452,"30,758",502.1
Nebraska,2007,1774571,"5,367",302.4
Nebraska,2008,1783432,"5,416",303.7
Nebraska,2009,1796619,"5,199",289.4
Nebraska,2010,1826341,"5,104",279.5
Nebraska,2011,1842234,"4,672",253.6
Nebraska,2012,1855525,"4,814",259.4
Nebraska,2013,1868969,"4,949",264.8
Nebraska,2014,1881503,"5,275",280.4
Nebraska,2015,1893765,"5,167",272.8
Nebraska,2016,1907116,"5,550",291
Nebraska,2017,1917575,"5,979",311.8
Nebraska,2018,1929268,"5,494",284.8
North Dakota,2007,639715,911,142.4
North Dakota,2008,641481,"1,068",166.5
North Dakota,2009,646844,"1,723",266.4
North Dakota,2010,672591,"1,513",225
North Dakota,2011,684740,"1,699",248.1
North Dakota,2012,699628,"1,712",244.7
North Dakota,2013,723857,"1,979",273.4
North Dakota,2014,739482,"1,960",265.1
North Dakota,2015,756835,"1,949",257.5
North Dakota,2016,757952,"1,903",251.1
North Dakota,2017,755176,"2,133",282.5
North Dakota,2018,760077,"2,133",280.6
South Dakota,2007,796214,"1,347",169.2
South Dakota,2008,804194,"1,620",201.4
South Dakota,2009,812383,"1,777",218.7
South Dakota,2010,814180,"2,186",268.5
South Dakota,2011,823593,"2,105",255.6
South Dakota,2012,833354,"2,682",321.8
South Dakota,2013,845510,"2,733",323.2
South Dakota,2014,853175,"2,786",326.5
South Dakota,2015,857919,"3,302",384.9
South Dakota,2016,865454,"3,621",418.4
South Dakota,2017,873286,"3,753",429.8
South Dakota,2018,882235,"3,570",404.7
Delaware,2007,864764,"5,960",689.2
Delaware,2008,873092,"6,141",703.4
Delaware,2009,885122,"5,713",645.4
Delaware,2010,897934,"5,575",620.9
Delaware,2011,908137,"5,144",566.4
Delaware,2012,917092,"5,020",547.4
Delaware,2013,925240,"4,633",500.7
Delaware,2014,935614,"4,576",489.1
Delaware,2015,944076,"4,760",504.2
Delaware,2016,952065,"4,844",508.8
Delaware,2017,957078,"4,377",457.3
Delaware,2018,967171,"4,097",423.6
Florida,2007,18251243,"131,880",722.6
Florida,2008,18328340,"126,265",688.9
Florida,2009,18537969,"113,541",612.5
Florida,2010,18801310,"101,969",542.4
Florida,2011,19082262,"98,198",514.6
Florida,2012,19317568,"94,087",487.1
Florida,2013,19600311,"91,993",469.3
Florida,2014,19893297,"107,521",540.5
Florida,2015,20244914,"93,625",462.5
Florida,2016,20612439,"88,700",430.3
Florida,2017,20976812,"85,606",408.1
Florida,2018,21299325,"81,980",384.9
Georgia,2007,9544750,"47,075",493.2
Georgia,2008,9685744,"46,384",478.9
Georgia,2009,9829211,"42,073",428
Georgia,2010,9687653,"39,072",403.3
Georgia,2011,9812460,"36,762",374.6
Georgia,2012,9919945,"37,591",378.9
Georgia,2013,9994759,"37,519",375.4
Georgia,2014,10097343,"38,097",377.3
Georgia,2015,10199398,"38,891",381.3
Georgia,2016,10310371,"40,990",397.6
Georgia,2017,10413055,"37,118",356.5
Georgia,2018,10519475,"34,355",326.6
Maryland,2007,5618344,"36,062",641.9
Maryland,2008,5633597,"35,393",628.2
Maryland,2009,5699478,"33,625",590
Maryland,2010,5773552,"31,620",547.7
Maryland,2011,5839572,"28,817",493.5
Maryland,2012,5884563,"28,055",476.8
Maryland,2013,5938737,"28,235",475.4
Maryland,2014,5976407,"26,661",446.1
Maryland,2015,5994983,"28,185",470.1
Maryland,2016,6016447,"28,400",472
Maryland,2017,6024891,"30,321",503.3
Maryland,2018,6042718,"28,320",468.7
North Carolina,2007,9061032,"42,262",466.4
North Carolina,2008,9222414,"43,099",467.3
North Carolina,2009,9380884,"37,946",404.5
North Carolina,2010,9535483,"34,653",363.4
North Carolina,2011,9651103,"33,421",346.3
North Carolina,2012,9752073,"34,464",353.4
North Carolina,2013,9848917,"33,587",341
North Carolina,2014,9943964,"32,767",329.5
North Carolina,2015,10035186,"34,734",346.1
North Carolina,2016,10146788,"37,769",372.2
North Carolina,2017,10270800,"38,043",370.4
North Carolina,2018,10383620,"39,210",377.6
South Carolina,2007,4407709,"34,746",788.3
South Carolina,2008,4479800,"32,691",729.7
South Carolina,2009,4561242,"30,799",675.2
South Carolina,2010,4625364,"27,648",597.7
South Carolina,2011,4673348,"27,894",596.9
South Carolina,2012,4723723,"26,397",558.8
South Carolina,2013,4771929,"24,263",508.5
South Carolina,2014,4832482,"24,052",497.7
South Carolina,2015,4894834,"24,448",499.5
South Carolina,2016,4961119,"24,896",501.8
South Carolina,2017,5021219,"25,412",506.1
South Carolina,2018,5084127,"24,825",488.3
Virginia,2007,7712091,"20,798",269.7
Virginia,2008,7769089,"19,882",255.9
Virginia,2009,7882590,"18,195",230.8
Virginia,2010,8001024,"17,087",213.6
Virginia,2011,8104384,"16,014",197.6
Virginia,2012,8185867,"15,564",190.1
Virginia,2013,8270345,"16,355",197.8
Virginia,2014,8326289,"16,340",196.2
Virginia,2015,8367587,"16,705",199.6
Virginia,2016,8411808,"18,302",217.6
Virginia,2017,8465207,"17,811",210.4
Virginia,2018,8517685,"17,032",200
West Virginia,2007,1812035,"4,987",275.2
West Virginia,2008,1814468,"4,968",273.8
West Virginia,2009,1819777,"5,554",305.2
West Virginia,2010,1852994,"5,830",314.6
West Virginia,2011,1854908,"5,497",296.3
West Virginia,2012,1855413,"5,869",316.3
West Virginia,2013,1853595,"5,657",305.2
West Virginia,2014,1850326,"5,588",302
West Virginia,2015,1841053,"6,397",347.5
West Virginia,2016,1831102,"6,557",358.1
West Virginia,2017,1817048,"6,564",361.2
West Virginia,2018,1805832,"5,236",289.9
Alabama,2007,4627851,"20,732",448
Alabama,2008,4661900,"21,111",452.8
Alabama,2009,4708708,"21,194",450.1
Alabama,2010,4779736,"18,056",377.8
Alabama,2011,4803689,"20,166",419.8
Alabama,2012,4822023,"21,693",449.9
Alabama,2013,4833996,"20,834",431
Alabama,2014,4849377,"20,727",427.4
Alabama,2015,4853875,"22,957",473
Alabama,2016,4863300,"25,886",532.3
Alabama,2017,4875120,"25,469",522.4
Alabama,2018,4887871,"25,399",519.6
Kentucky,2007,4241474,"12,513",295
Kentucky,2008,4269245,"12,646",296.2
Kentucky,2009,4314113,"11,000",255
Kentucky,2010,4339367,"10,528",242.6
Kentucky,2011,4366814,"10,465",239.6
Kentucky,2012,4380415,"9,752",222.6
Kentucky,2013,4399583,"9,280",210.9
Kentucky,2014,4413457,"9,340",211.6
Kentucky,2015,4424611,"9,887",223.5
Kentucky,2016,4436974,"10,308",232.3
Kentucky,2017,4453874,"10,292",231.1
Kentucky,2018,4468402,"9,467",211.9
Mississippi,2007,2918785,"8,502",291.3
Mississippi,2008,2938618,"8,373",284.9
Mississippi,2009,2951996,"8,451",286.3
Mississippi,2010,2967297,"8,003",269.7
Mississippi,2011,2977457,"8,009",269
Mississippi,2012,2984926,"7,786",260.8
Mississippi,2013,2992206,"8,303",277.5
Mississippi,2014,2994079,"8,338",278.5
Mississippi,2015,2989390,"8,190",274
Mississippi,2016,2988726,"8,383",280.5
Mississippi,2017,2989663,"7,661",256.2
Mississippi,2018,2986530,"6,999",234.4
Tennessee,2007,6156719,"46,380",753.3
Tennessee,2008,6214888,"44,897",722.4
Tennessee,2009,6296254,"41,933",666
Tennessee,2010,6346105,"38,921",613.3
Tennessee,2011,6399787,"38,895",607.8
Tennessee,2012,6456243,"41,550",643.6
Tennessee,2013,6497269,"38,063",585.8
Tennessee,2014,6549352,"39,848",608.4
Tennessee,2015,6595056,"40,816",618.9
Tennessee,2016,6651194,"42,097",632.9
Tennessee,2017,6708794,"43,940",655
Tennessee,2018,6770010,"42,226",623.7
Arkansas,2007,2834797,"15,007",529.4
Arkansas,2008,2855390,"14,374",503.4
Arkansas,2009,2889450,"14,905",515.8
Arkansas,2010,2915918,"14,735",505.3
Arkansas,2011,2938582,"14,173",482.3
Arkansas,2012,2949131,"13,835",469.1
Arkansas,2013,2958765,"13,705",463.2
Arkansas,2014,2966369,"14,243",480.1
Arkansas,2015,2977853,"15,769",529.5
Arkansas,2016,2988248,"16,461",550.9
Arkansas,2017,3002997,"16,996",566
Arkansas,2018,3013825,"16,384",543.6
Louisiana,2007,4293204,"31,317",729.5
Louisiana,2008,4410796,"28,944",656.2
Louisiana,2009,4492076,"28,878",642.9
Louisiana,2010,4533372,"24,886",549
Louisiana,2011,4574766,"25,373",554.6
Louisiana,2012,4601893,"22,868",496.9
Louisiana,2013,4629284,"24,127",521.2
Louisiana,2014,4649676,"23,934",514.7
Louisiana,2015,4668960,"25,202",539.8
Louisiana,2016,4681666,"26,502",566.1
Louisiana,2017,4670818,"25,986",556.3
Louisiana,2018,4659978,"25,049",537.5
Oklahoma,2007,3617316,"18,072",499.6
Oklahoma,2008,3642361,"19,184",526.7
Oklahoma,2009,3687050,"18,560",503.4
Oklahoma,2010,3751351,"17,987",479.5
Oklahoma,2011,3784163,"17,311",457.5
Oklahoma,2012,3814820,"17,902",469.3
Oklahoma,2013,3853118,"17,187",446.1
Oklahoma,2014,3878051,"15,744",406
Oklahoma,2015,3907414,"16,746",428.6
Oklahoma,2016,3923561,"17,648",449.8
Oklahoma,2017,3932640,"17,989",457.4
Oklahoma,2018,3943079,"18,380",466.1
Texas,2007,23904380,"122,054",510.6
Texas,2008,24326974,"123,564",507.9
Texas,2009,24782302,"121,684",491
Texas,2010,25145561,"113,231",450.3
Texas,2011,25631778,"104,734",408.6
Texas,2012,26059203,"106,476",408.6
Texas,2013,26505637,"108,757",410.3
Texas,2014,26956958,"109,414",405.9
Texas,2015,27429639,"113,193",412.7
Texas,2016,27862596,"121,042",434.4
Texas,2017,28322717,"123,984",437.8
Texas,2018,28701845,"117,927",410.9
Arizona,2007,6338755,"30,600",482.7
Arizona,2008,6500180,"29,059",447
Arizona,2009,6595778,"28,128",426.5
Arizona,2010,6392017,"26,085",408.1
Arizona,2011,6467315,"26,789",414.2
Arizona,2012,6553255,"28,108",428.9
Arizona,2013,6634997,"27,576",415.6
Arizona,2014,6731484,"26,916",399.9
Arizona,2015,6817565,"27,968",410.2
Arizona,2016,6931071,"32,583",470.1
Arizona,2017,7048876,"35,647",505.7
Arizona,2018,7171646,"34,058",474.9
Colorado,2007,4861515,"16,906",347.8
Colorado,2008,4939456,"16,946",343.1
Colorado,2009,5024748,"17,022",338.8
Colorado,2010,5029196,"16,133",320.8
Colorado,2011,5116302,"16,085",314.4
Colorado,2012,5187582,"16,023",308.9
Colorado,2013,5272086,"16,099",305.4
Colorado,2014,5355866,"16,554",309.1
Colorado,2015,5448819,"17,348",318.4
Colorado,2016,5540545,"18,983",342.6
Colorado,2017,5615902,"20,901",372.2
Colorado,2018,5695564,"22,624",397.2
Idaho,2007,1499402,"3,589",239.4
Idaho,2008,1523816,"3,483",228.6
Idaho,2009,1545801,"3,805",246.2
Idaho,2010,1567582,"3,465",221
Idaho,2011,1583744,"3,202",202.2
Idaho,2012,1595728,"3,318",207.9
Idaho,2013,1612843,"3,471",215.2
Idaho,2014,1634464,"3,468",212.2
Idaho,2015,1652828,"3,593",217.4
Idaho,2016,1683140,"3,876",230.3
Idaho,2017,1718904,"4,111",239.2
Idaho,2018,1754208,"3,983",227.1
Montana,2007,957861,"2,754",287.5
Montana,2008,968035,"2,918",301.4
Montana,2009,974989,"2,798",287
Montana,2010,989415,"2,693",272.2
Montana,2011,997667,"2,755",276.1
Montana,2012,1005141,"2,736",272.2
Montana,2013,1014864,"2,924",288.1
Montana,2014,1023579,"3,313",323.7
Montana,2015,1032073,"3,647",353.4
Montana,2016,1042520,"3,840",368.3
Montana,2017,1053090,"3,937",373.9
Montana,2018,1062305,"3,974",374.1
Nevada,2007,2565382,"19,257",750.6
Nevada,2008,2600167,"18,837",724.5
Nevada,2009,2643085,"18,639",705.2
Nevada,2010,2700551,"17,841",660.6
Nevada,2011,2720028,"15,452",568.1
Nevada,2012,2758931,"16,763",607.6
Nevada,2013,2791494,"16,888",605
Nevada,2014,2839099,"18,045",635.6
Nevada,2015,2883758,"20,118",697.6
Nevada,2016,2940058,"19,936",678.1
Nevada,2017,2972405,"16,663",560.6
Nevada,2018,3034392,"16,420",541.1
New Mexico,2007,1969915,"13,085",664.2
New Mexico,2008,1984356,"12,896",649.9
New Mexico,2009,2009671,"12,709",632.4
New Mexico,2010,2059179,"12,126",588.9
New Mexico,2011,2078674,"11,904",572.7
New Mexico,2012,2085538,"11,660",559.1
New Mexico,2013,2086895,"12,990",622.5
New Mexico,2014,2085572,"12,459",597.4
New Mexico,2015,2080328,"13,672",657.2
New Mexico,2016,2081015,"14,619",702.5
New Mexico,2017,2093395,"16,300",778.6
New Mexico,2018,2095428,"17,949",856.6
Utah,2007,2645330,"6,210",234.8
Utah,2008,2736424,"6,070",221.8
Utah,2009,2784572,"5,998",215.4
Utah,2010,2763885,"5,879",212.7
Utah,2011,2814347,"5,547",197.1
Utah,2012,2855287,"5,876",205.8
Utah,2013,2902787,"6,644",228.9
Utah,2014,2942902,"6,346",215.6
Utah,2015,2990632,"7,138",238.7
Utah,2016,3051217,"7,407",242.8
Utah,2017,3103118,"7,515",242.2
Utah,2018,3161105,"7,368",233.1
Wyoming,2007,522830,"1,251",239.3
Wyoming,2008,532668,"1,236",232
Wyoming,2009,544270,"1,196",219.7
Wyoming,2010,563626,"1,104",195.9
Wyoming,2011,567356,"1,245",219.4
Wyoming,2012,576412,"1,161",201.4
Wyoming,2013,583223,"1,212",207.8
Wyoming,2014,584153,"1,142",195.5
Wyoming,2015,586555,"1,300",221.6
Wyoming,2016,585501,"1,430",244.2
Wyoming,2017,578934,"1,358",234.6
Wyoming,2018,577737,"1,226",212.2
Alaska,2007,683478,"4,519",661.2
Alaska,2008,686293,"4,474",651.9
Alaska,2009,698473,"4,424",633.4
Alaska,2010,710231,"4,537",638.8
Alaska,2011,723860,"4,416",610.1
Alaska,2012,731449,"4,412",603.2
Alaska,2013,737259,"4,709",638.7
Alaska,2014,736732,"4,684",635.8
Alaska,2015,737709,"5,391",730.8
Alaska,2016,741894,"5,966",804.2
Alaska,2017,739786,"6,338",856.7
Alaska,2018,737438,"6,526",885
California,2007,36553215,"191,025",522.6
California,2008,36756666,"185,173",503.8
California,2009,36961664,"174,934",473.3
California,2010,37253956,"164,133",440.6
California,2011,37683933,"154,943",411.2
California,2012,38041430,"160,944",423.1
California,2013,38431393,"154,739",402.6
California,2014,38802500,"153,709",396.1
California,2015,38993940,"166,883",428
California,2016,39250017,"174,796",445.3
California,2017,39399349,"178,597",453.3
California,2018,39557045,"176,982",447.4
Hawaii,2007,1283388,"3,501",272.8
Hawaii,2008,1288198,"3,512",272.6
Hawaii,2009,1295178,"3,550",274.1
Hawaii,2010,1360301,"3,574",262.7
Hawaii,2011,1378129,"3,465",251.4
Hawaii,2012,1392313,"3,330",239.2
Hawaii,2013,1408987,"3,585",254.4
Hawaii,2014,1419561,"3,680",259.2
Hawaii,2015,1425157,"3,530",247.7
Hawaii,2016,1428557,"4,417",309.2
Hawaii,2017,1424203,"3,577",251.2
Hawaii,2018,1420491,"3,532",248.6
Oregon,2007,3747455,"10,777",287.6
Oregon,2008,3790060,"9,747",257.2
Oregon,2009,3825657,"9,968",260.6
Oregon,2010,3831074,"9,655",252
Oregon,2011,3868229,"9,643",249.3
Oregon,2012,3899353,"9,653",247.6
Oregon,2013,3928068,"9,536",242.8
Oregon,2014,3970239,"9,224",232.3
Oregon,2015,4024634,"10,680",265.4
Oregon,2016,4093465,"10,830",264.6
Oregon,2017,4146592,"11,629",280.4
Oregon,2018,4190713,"11,966",285.5
Washington,2007,6468424,"21,546",333.1
Washington,2008,6549224,"21,691",331.2
Washington,2009,6664195,"22,412",336.3
Washington,2010,6724540,"21,101",313.8
Washington,2011,6823267,"20,152",295.3
Washington,2012,6897012,"20,386",295.6
Washington,2013,6973742,"20,223",290
Washington,2014,7061530,"20,136",285.2
Washington,2015,7160290,"20,505",286.4
Washington,2016,7288000,"22,023",302.2
Washington,2017,7425432,"22,483",302.8
Washington,2018,7535591,"23,472",311.5
