State,Unemployment-rate,Year
Idaho,2.8,2018
Illinois,5,2007
Illinois,6.3,2008
Illinois,10.2,2009
Illinois,10.4,2010
Illinois,9.7,2011
Illinois,9,2012
Illinois,9,2013
Illinois,7.1,2014
Illinois,6,2015
Illinois,5.8,2016
Illinois,4.9,2017
Illinois,4.3,2018
Indiana,4.6,2007
Indiana,5.9,2008
Indiana,10.3,2009
Indiana,10.4,2010
Indiana,9.1,2011
Indiana,8.3,2012
Indiana,7.7,2013
Indiana,6,2014
Indiana,4.8,2015
Indiana,4.4,2016
Indiana,3.6,2017
Indiana,3.4,2018
Iowa,3.7,2007
Iowa,4.2,2008
Iowa,6.4,2009
Iowa,6,2010
Iowa,5.5,2011
Iowa,5,2012
Iowa,4.7,2013
Iowa,4.2,2014
Iowa,3.8,2015
Iowa,3.6,2016
Iowa,3.1,2017
Iowa,2.5,2018
Kansas,4.2,2007
Kansas,4.6,2008
Kansas,6.9,2009
Kansas,7.1,2010
Kansas,6.5,2011
Kansas,5.7,2012
Kansas,5.3,2013
Kansas,4.5,2014
Kansas,4.2,2015
Kansas,4,2016
Kansas,3.7,2017
Kansas,3.4,2018
Kentucky,5.4,2007
Kentucky,6.4,2008
Kentucky,10.3,2009
Kentucky,10.2,2010
Kentucky,9.4,2011
Kentucky,8.2,2012
Kentucky,8,2013
Kentucky,6.5,2014
Kentucky,5.3,2015
Kentucky,5.1,2016
Kentucky,4.9,2017
Kentucky,4.3,2018
Louisiana,4.3,2007
Louisiana,4.9,2008
Louisiana,6.8,2009
Louisiana,8,2010
Louisiana,7.8,2011
Louisiana,7.1,2012
Louisiana,6.7,2013
Louisiana,6.4,2014
Louisiana,6.3,2015
Louisiana,6.1,2016
Louisiana,5.1,2017
Louisiana,4.9,2018
Maine,4.7,2007
Maine,5.5,2008
Maine,8.1,2009
Maine,8.1,2010
Maine,7.9,2011
Maine,7.5,2012
Maine,6.6,2013
Maine,5.6,2014
Maine,4.4,2015
Maine,3.8,2016
Maine,3.4,2017
Maine,3.4,2018
Maryland,3.5,2007
Maryland,4.2,2008
Maryland,7,2009
Maryland,7.7,2010
Maryland,7.2,2011
Maryland,7,2012
Maryland,6.6,2013
Maryland,5.8,2014
Maryland,5.1,2015
Maryland,4.5,2016
Maryland,4.3,2017
Maryland,3.9,2018
Massachusetts,4.6,2007
Massachusetts,5.5,2008
Massachusetts,8.1,2009
Massachusetts,8.3,2010
Massachusetts,7.3,2011
Massachusetts,6.7,2012
Massachusetts,6.7,2013
Massachusetts,5.7,2014
Massachusetts,4.8,2015
Massachusetts,3.9,2016
Massachusetts,3.8,2017
Massachusetts,3.3,2018
Michigan,7,2007
Michigan,8,2008
Michigan,13.7,2009
Michigan,12.6,2010
Michigan,10.4,2011
Michigan,9.1,2012
Michigan,8.8,2013
Michigan,7.2,2014
Michigan,5.4,2015
Michigan,5,2016
Michigan,4.6,2017
Michigan,4.1,2018
Minnesota,4.6,2007
Minnesota,5.4,2008
Minnesota,7.8,2009
Minnesota,7.4,2010
Minnesota,6.5,2011
Minnesota,5.6,2012
Minnesota,5,2013
Minnesota,4.2,2014
Minnesota,3.7,2015
Minnesota,3.9,2016
Minnesota,3.4,2017
Minnesota,2.9,2018
Mississippi,6.1,2007
Mississippi,6.6,2008
Mississippi,9.5,2009
Mississippi,10.4,2010
Mississippi,10,2011
Mississippi,9,2012
Mississippi,8.5,2013
Mississippi,7.5,2014
Mississippi,6.4,2015
Mississippi,5.8,2016
Mississippi,5.1,2017
Mississippi,4.8,2018
Missouri,5.1,2007
Missouri,6.1,2008
Missouri,9.3,2009
Missouri,9.6,2010
Missouri,8.5,2011
Missouri,6.9,2012
Missouri,6.7,2013
Missouri,6.1,2014
Missouri,5,2015
Missouri,4.6,2016
Missouri,3.8,2017
Missouri,3.2,2018
Montana,3.6,2007
Montana,5.1,2008
Montana,6.8,2009
Montana,7.3,2010
Montana,6.9,2011
Montana,6,2012
Montana,5.4,2013
Montana,4.7,2014
Montana,4.2,2015
Montana,4.1,2016
Montana,3.9,2017
Montana,3.7,2018
Nebraska,3,2007
Nebraska,3.3,2008
Nebraska,4.6,2009
Nebraska,4.6,2010
Nebraska,4.4,2011
Nebraska,4,2012
Nebraska,3.8,2013
Nebraska,3.3,2014
Nebraska,3,2015
Nebraska,3.1,2016
Nebraska,2.9,2017
Nebraska,2.8,2018
Nevada,4.5,2007
Nevada,6.7,2008
Nevada,11.3,2009
Nevada,13.5,2010
Nevada,13,2011
Nevada,11.2,2012
Nevada,9.6,2013
Nevada,7.9,2014
Nevada,6.8,2015
Nevada,5.7,2016
Nevada,5.1,2017
Nevada,4.6,2018
NewHampshire,3.5,2007
NewHampshire,3.9,2008
NewHampshire,6.2,2009
NewHampshire,5.8,2010
NewHampshire,5.4,2011
NewHampshire,5.5,2012
NewHampshire,5.1,2013
NewHampshire,4.3,2014
NewHampshire,3.4,2015
NewHampshire,2.9,2016
NewHampshire,2.7,2017
NewHampshire,2.5,2018
NewJersey,4.3,2007
NewJersey,5.3,2008
NewJersey,9.1,2009
NewJersey,9.5,2010
NewJersey,9.3,2011
NewJersey,9.3,2012
NewJersey,8.2,2013
NewJersey,6.8,2014
NewJersey,5.8,2015
NewJersey,5,2016
NewJersey,4.6,2017
NewJersey,4.1,2018
NewMexico,3.8,2007
NewMexico,4.5,2008
NewMexico,7.5,2009
NewMexico,8.1,2010
NewMexico,7.5,2011
NewMexico,7.1,2012
NewMexico,6.9,2013
NewMexico,6.7,2014
NewMexico,6.5,2015
NewMexico,6.6,2016
NewMexico,5.9,2017
NewMexico,4.9,2018
NewYork,4.6,2007
NewYork,5.4,2008
NewYork,8.3,2009
NewYork,8.6,2010
NewYork,8.3,2011
NewYork,8.5,2012
NewYork,7.7,2013
NewYork,6.3,2014
NewYork,5.3,2015
NewYork,4.9,2016
NewYork,4.7,2017
NewYork,4.1,2018
NorthCarolina,4.7,2007
NorthCarolina,6.1,2008
NorthCarolina,10.6,2009
NorthCarolina,10.9,2010
NorthCarolina,10.3,2011
NorthCarolina,9.3,2012
NorthCarolina,8,2013
NorthCarolina,6.3,2014
NorthCarolina,5.7,2015
NorthCarolina,5.1,2016
NorthCarolina,4.5,2017
NorthCarolina,3.9,2018
NorthDakota,3.1,2007
NorthDakota,3.2,2008
NorthDakota,4.1,2009
NorthDakota,3.8,2010
NorthDakota,3.5,2011
NorthDakota,3.1,2012
NorthDakota,2.9,2013
NorthDakota,2.7,2014
NorthDakota,2.8,2015
NorthDakota,3.1,2016
NorthDakota,2.7,2017
NorthDakota,2.6,2018
Ohio,5.6,2007
Ohio,6.4,2008
Ohio,10.3,2009
Ohio,10.3,2010
Ohio,8.8,2011
Ohio,7.4,2012
Ohio,7.5,2013
Ohio,5.8,2014
Ohio,4.9,2015
Ohio,5,2016
Ohio,5,2017
Ohio,4.6,2018
Oklahoma,4.1,2007
Oklahoma,3.7,2008
Oklahoma,6.4,2009
Oklahoma,6.8,2010
Oklahoma,5.9,2011
Oklahoma,5.2,2012
Oklahoma,5.3,2013
Oklahoma,4.5,2014
Oklahoma,4.4,2015
Oklahoma,4.8,2016
Oklahoma,4.2,2017
Oklahoma,3.4,2018
Oregon,5.2,2007
Oregon,6.5,2008
Oregon,11.3,2009
Oregon,10.6,2010
Oregon,9.5,2011
Oregon,8.8,2012
Oregon,7.9,2013
Oregon,6.8,2014
Oregon,5.6,2015
Oregon,4.8,2016
Oregon,4.1,2017
Oregon,4.2,2018
Pennsylvania,4.4,2007
Pennsylvania,5.3,2008
Pennsylvania,8,2009
Pennsylvania,8.5,2010
Pennsylvania,7.9,2011
Pennsylvania,7.8,2012
Pennsylvania,7.4,2013
Pennsylvania,5.9,2014
Pennsylvania,5.3,2015
Pennsylvania,5.4,2016
Pennsylvania,4.9,2017
Pennsylvania,4.3,2018
RhodeIsland,5.2,2007
RhodeIsland,7.8,2008
RhodeIsland,11,2009
RhodeIsland,11.2,2010
RhodeIsland,11,2011
RhodeIsland,10.4,2012
RhodeIsland,9.3,2013
RhodeIsland,7.7,2014
RhodeIsland,6,2015
RhodeIsland,5.2,2016
RhodeIsland,4.4,2017
RhodeIsland,4.1,2018
SouthCarolina,5.7,2007
SouthCarolina,6.8,2008
SouthCarolina,11.2,2009
SouthCarolina,11.2,2010
SouthCarolina,10.6,2011
SouthCarolina,9.2,2012
SouthCarolina,7.6,2013
SouthCarolina,6.5,2014
SouthCarolina,6,2015
SouthCarolina,5,2016
SouthCarolina,4.3,2017
SouthCarolina,3.4,2018
SouthDakota,2.8,2007
SouthDakota,3.1,2008
SouthDakota,4.9,2009
SouthDakota,5,2010
SouthDakota,4.7,2011
SouthDakota,4.3,2012
SouthDakota,3.8,2013
SouthDakota,3.4,2014
SouthDakota,3.1,2015
SouthDakota,3,2016
SouthDakota,3.2,2017
SouthDakota,3,2018
Tennessee,4.7,2007
Tennessee,6.6,2008
Tennessee,10.5,2009
Tennessee,9.7,2010
Tennessee,9,2011
Tennessee,7.8,2012
Tennessee,7.8,2013
Tennessee,6.6,2014
Tennessee,5.6,2015
Tennessee,4.7,2016
Tennessee,3.8,2017
Tennessee,3.5,2018
Texas,4.3,2007
Texas,4.8,2008
Texas,7.6,2009
Texas,8.1,2010
Texas,7.8,2011
Texas,6.7,2012
Texas,6.3,2013
Texas,5.1,2014
Texas,4.4,2015
Texas,4.6,2016
Texas,4.3,2017
Texas,3.9,2018
Utah,2.6,2007
Utah,3.6,2008
Utah,7.3,2009
Utah,7.8,2010
Utah,6.7,2011
Utah,5.4,2012
Utah,4.6,2013
Utah,3.8,2014
Utah,3.6,2015
Utah,3.4,2016
Utah,3.3,2017
Utah,3.1,2018
Vermont,4,2007
Vermont,4.7,2008
Vermont,6.6,2009
Vermont,6.1,2010
Vermont,5.5,2011
Vermont,5,2012
Vermont,4.4,2013
Vermont,3.9,2014
Vermont,3.6,2015
Vermont,3.2,2016
Vermont,3,2017
Vermont,2.7,2018
Virginia,3,2007
Virginia,3.9,2008
Virginia,6.7,2009
Virginia,7.2,2010
Virginia,6.6,2011
Virginia,6.1,2012
Virginia,5.7,2013
Virginia,5.2,2014
Virginia,4.5,2015
Virginia,4.1,2016
Virginia,3.7,2017
Virginia,3,2018
Washington,4.7,2007
Washington,5.4,2008
Washington,9.2,2009
Washington,10,2010
Washington,9.3,2011
Washington,8.1,2012
Washington,7,2013
Washington,6.1,2014
Washington,5.6,2015
Washington,5.3,2016
Washington,4.7,2017
Washington,4.5,2018
WestVirginia,4.6,2007
WestVirginia,4.3,2008
WestVirginia,7.7,2009
WestVirginia,8.7,2010
WestVirginia,8.1,2011
WestVirginia,7.5,2012
WestVirginia,6.8,2013
WestVirginia,6.6,2014
WestVirginia,6.7,2015
WestVirginia,6.1,2016
WestVirginia,5.2,2017
WestVirginia,5.3,2018
Wisconsin,4.9,2007
Wisconsin,4.9,2008
Wisconsin,8.6,2009
Wisconsin,8.7,2010
Wisconsin,7.8,2011
Wisconsin,7,2012
Wisconsin,6.7,2013
Wisconsin,5.4,2014
Wisconsin,4.6,2015
Wisconsin,4,2016
Wisconsin,3.3,2017
Wisconsin,3,2018
Wyoming,2.8,2007
Wyoming,3.1,2008
Wyoming,6.3,2009
Wyoming,6.4,2010
Wyoming,5.8,2011
Wyoming,5.3,2012
Wyoming,4.7,2013
Wyoming,4.1,2014
Wyoming,4.3,2015
Wyoming,5.3,2016
Wyoming,4.2,2017
Wyoming,4.1,2018
